Ano;Data_Referencia;Empresa;CNPJ;Demonstracao;Categoria;Metrica;Rotulo;Codigo_Conta;Descricao_CVM;Valor_R$_mil;Valor_R$_milhoes;Moeda;Escala_Original;Versao_DFP;Fonte
2021;2021-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DRE;Resultado;Lucro_Liquido;Lucro/prejuízo consolidado;3.11;Lucro/Prejuízo Consolidado do Período;590661,0;590,661;REAL;MIL;1;DFP 2021 - CVM
2022;2022-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPA;Balanço;Ativo_Total;Ativo total;1;Ativo Total;37765845,0;37765,845;REAL;MIL;1;DFP 2022 - CVM
2022;2022-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPA;Balanço;Ativo_Circulante;Ativo circulante;1.01;Ativo Circulante;21938136,0;21938,136;REAL;MIL;1;DFP 2022 - CVM
2022;2022-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPA;Balanço;Caixa;Caixa e equivalentes;1.01.01;Caixa e Equivalentes de Caixa;2420045,0;2420,045;REAL;MIL;1;DFP 2022 - CVM
2022;2022-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPA;Balanço;Contas_a_Receber;Contas a receber;1.01.03;Contas a Receber;6760270,0;6760,27;REAL;MIL;1;DFP 2022 - CVM
2022;2022-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPA;Balanço;Estoques;Estoques;1.01.04;Estoques;7790069,0;7790,069;REAL;MIL;1;DFP 2022 - CVM
2022;2022-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPP;Balanço;Passivo_Total;Passivo total e patrimônio líquido;2;Passivo Total;37765845,0;37765,845;REAL;MIL;1;DFP 2022 - CVM
2022;2022-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPP;Balanço;Passivo_Circulante;Passivo circulante;2.01;Passivo Circulante;14832925,0;14832,925;REAL;MIL;1;DFP 2022 - CVM
2022;2022-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPP;Balanço;Divida_CP;Empréstimos e financiamentos de curto prazo;2.01.04;Empréstimos e Financiamentos;124297,0;124,297;REAL;MIL;1;DFP 2022 - CVM
2022;2022-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPP;Balanço;Divida_LP;Empréstimos e financiamentos de longo prazo;2.02.01;Empréstimos e Financiamentos;6984460,0;6984,46;REAL;MIL;1;DFP 2022 - CVM
2022;2022-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPP;Balanço;Patrimonio_Liquido;Patrimônio líquido consolidado;2.03;Patrimônio Líquido Consolidado;10648701,0;10648,701;REAL;MIL;1;DFP 2022 - CVM
2022;2022-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DFC_MI;Fluxo de caixa;FCO;Fluxo de caixa operacional;6.01;Caixa Líquido Atividades Operacionais;3064122,0;3064,122;REAL;MIL;1;DFP 2022 - CVM
2022;2022-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DFC_MI;Fluxo de caixa;FCI;Fluxo de caixa de investimento;6.02;Caixa Líquido Atividades de Investimento;-1043558,0;-1043,558;REAL;MIL;1;DFP 2022 - CVM
2022;2022-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DFC_MI;Fluxo de caixa;Capex_Imobilizado;Aquisição de imobilizado;6.02.01;Aquisicao de Imobilizado;-265129,0;-265,129;REAL;MIL;1;DFP 2022 - CVM
2022;2022-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DFC_MI;Fluxo de caixa;Capex_Intangivel;Aquisição de intangível;6.02.02;Aquisicao de Ativo Intangivel;-430282,0;-430,282;REAL;MIL;1;DFP 2022 - CVM
2022;2022-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DFC_MI;Fluxo de caixa;FCF;Fluxo de caixa de financiamento;6.03;Caixa Líquido Atividades de Financiamento;-2166737,0;-2166,737;REAL;MIL;1;DFP 2022 - CVM
2022;2022-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DFC_MI;Fluxo de caixa;Variacao_Caixa;Variação de caixa;6.05;Aumento (Redução) de Caixa e Equivalentes;-146173,0;-146,173;REAL;MIL;1;DFP 2022 - CVM
2022;2022-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DRE;Resultado;Receita;Receita líquida;3.01;Receita de Venda de Bens e/ou Serviços;37299002,0;37299,002;REAL;MIL;1;DFP 2022 - CVM
2022;2022-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DRE;Resultado;Custos;Custos dos bens e serviços;3.02;Custo dos Bens e/ou Serviços Vendidos;-26860106,0;-26860,106;REAL;MIL;1;DFP 2022 - CVM
2022;2022-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DRE;Resultado;Lucro_Bruto;Lucro bruto;3.03;Resultado Bruto;10438896,0;10438,896;REAL;MIL;1;DFP 2022 - CVM
2022;2022-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DRE;Resultado;Despesas_Operacionais;Despesas/receitas operacionais;3.04;Despesas/Receitas Operacionais;-9667261,0;-9667,261;REAL;MIL;1;DFP 2022 - CVM
2022;2022-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DRE;Resultado;Resultado_Operacional;Resultado operacional (antes do financeiro e tributos);3.05;Resultado Antes do Resultado Financeiro e dos Tributos;771635,0;771,635;REAL;MIL;1;DFP 2022 - CVM
2022;2022-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DRE;Resultado;Resultado_Financeiro;Resultado financeiro;3.06;Resultado Financeiro;-2041033,0;-2041,033;REAL;MIL;1;DFP 2022 - CVM
2022;2022-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DRE;Resultado;Lucro_Liquido;Lucro/prejuízo consolidado;3.11;Lucro/Prejuízo Consolidado do Período;-498975,0;-498,975;REAL;MIL;1;DFP 2022 - CVM
2023;2023-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPA;Balanço;Ativo_Total;Ativo total;1;Ativo Total;37455067,0;37455,067;REAL;MIL;1;DFP 2023 - CVM
2023;2023-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPA;Balanço;Ativo_Circulante;Ativo circulante;1.01;Ativo Circulante;20221163,0;20221,163;REAL;MIL;1;DFP 2023 - CVM
