Ano;Ativo_Circulante;Ativo_Total;Caixa;Capex_Imobilizado;Capex_Intangivel;Contas_a_Receber;Custos;Despesas_Operacionais;Divida_CP;Divida_LP;Estoques;FCF;FCI;FCO;Lucro_Bruto;Lucro_Liquido;Passivo_Circulante;Passivo_Total;Patrimonio_Liquido;Receita;Resultado_Financeiro;Resultado_Operacional;Variacao_Caixa;Capex;Fluxo_Caixa_Livre;Divida_Bruta;Divida_Liquida;Margem_Bruta;Margem_Operacional;Margem_Liquida;Liquidez_Corrente;ROA;ROE;Crescimento_Receita;Crescimento_Lucro;Data_Referencia;Empresa;CNPJ
2021;24509,81;38384,616;2566,218;-863,049;-301,073;5650,759;-26791,345;-8016,203;407,968;6384,904;9112,214;6566,721;-1317,403;-4364,476;8486,805;590,661;15257,189;38384,616;11261,231;35278,15;-689,011;470,602;884,842;-1164,1219999999998;-5528,598;6792,872;4226,654;0,2405683121138722;0,013339758462391025;0,016742969798586374;1,6064433625355234;0,015387961677146905;0,05245083774589119;;;2021-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21
2022;21938,136;37765,845;2420,045;-265,129;-430,282;6760,27;-26860,106;-9667,261;124,297;6984,46;7790,069;-2166,737;-1043,558;3064,122;10438,896;-498,975;14832,925;37765,845;10648,701;37299,002;-2041,033;771,635;-146,173;-695,4110000000001;2368,711;7108,757;4688,7119999999995;0,27987065176703657;0,0206878189394987;-0,01337770377877671;1,4790161751643724;-0,013212335113910467;-0,04685782801113488;0,057283389293372844;-1,8447739058444692;2022-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21
2023;20221,163;37455,067;2593,346;-168,225;-472,62;5885,45;-26604,266;-10536,031;2954,347;4400,508;7497,299;-3032,921;-148,4;3354,622;10163,883;-979,104;17408,127;37455,067;9610,534;36768,149;-1692,219;-372,148;173,301;-640,845;2713,777;7354,855;4761,509;0,27643172899457086;-0,010121477695273702;-0,02662913490695439;1,161593260435198;-0,026140762209823306;-0,1018782098892736;-0,014232364715817458;0,9622305726739817;2023-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21
2024;19550,824;37311,858;1827,197;-266,6;-462,947;5833,528;-26410,812;-10064,824;1402,168;3179,992;7611,132;-15310,874;-1290,606;15835,331;11627,256;448,717;16710,55;37311,858;11319,262;38038,068;-1475,048;1562,432;-766,149;-729,547;15105,784;4582,16;2754,9629999999997;0,30567419985683814;0,04107548259285934;0,01179652447122183;1,1699689118550856;0,012026123169744052;0,03964189538151869;0,034538562166945175;-1,4582935009968296;2024-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21
2025;19839,054;37911,158;1575,837;-330,687;-560,928;5608,982;-27148,836;-9635,868;998,359;3946,177;7181,339;-14969,917;-1000,816;15719,373;11554,551;204,603;17182,792;37911,158;11278,03;38703,387;-2044,179;1918,683;-251,36;-891,615;14827,758;4944,536;3368,699;0,29854108117204314;0,04957403340436329;0,0052864365591569545;1,1545884976085377;0,0053969071585732095;0,01814173219968381;0,01749087256482129;-0,5440266359420303;2025-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21
